Metric,Model,Optimizer,Mean,Median,Min,Max,Lower Quartile (Q1),Upper Quartile (Q3),Std. Dev.,Std. Error
Precision,YOLOv8,Adam,0.9401,0.9484,0.9034,0.9662,0.9235,0.9538,0.0224,0.0071
Precision,YOLOv8,AdamW,0.9457,0.9423,0.919,0.9683,0.9284,0.9664,0.0201,0.0064
Precision,YOLOv8,SGD,0.9295,0.9354,0.883,0.9523,0.9119,0.9512,0.0245,0.0078
Precision,YOLOv11,Adam,0.9448,0.9411,0.9067,0.983,0.928,0.9644,0.026,0.0082
Precision,YOLOv11,AdamW,0.9502,0.9461,0.894,0.9953,0.9334,0.9756,0.0305,0.0096
Precision,YOLOv11,SGD,0.9604,0.9591,0.9205,1.0,0.9502,0.968,0.0216,0.0068
Precision,YOLOv26,Adam,0.9593,0.9723,0.8863,1.0,0.9276,0.9913,0.0393,0.0124
Precision,YOLOv26,AdamW,0.9526,0.965,0.8989,0.9952,0.9339,0.9731,0.0318,0.0101
Precision,YOLOv26,SGD,0.9186,0.9116,0.8686,0.9659,0.9037,0.9381,0.0304,0.0096
Recall,YOLOv8,Adam,0.8618,0.8662,0.805,0.8977,0.8486,0.8838,0.0285,0.009
Recall,YOLOv8,AdamW,0.8621,0.8592,0.8169,0.9014,0.8591,0.8592,0.0224,0.0071
Recall,YOLOv8,SGD,0.8407,0.8438,0.8119,0.8707,0.8276,0.8505,0.019,0.006
Recall,YOLOv11,Adam,0.8465,0.8451,0.8158,0.8873,0.831,0.8603,0.0237,0.0075
Recall,YOLOv11,AdamW,0.8466,0.8488,0.7858,0.8999,0.8204,0.8697,0.0386,0.0122
Recall,YOLOv11,SGD,0.8036,0.8056,0.7706,0.8349,0.7865,0.8165,0.0223,0.007
Recall,YOLOv26,Adam,0.8239,0.8273,0.7746,0.8732,0.7923,0.8451,0.0345,0.0109
Recall,YOLOv26,AdamW,0.8203,0.8243,0.7324,0.8788,0.7923,0.8556,0.0476,0.015
Recall,YOLOv26,SGD,0.7059,0.6898,0.6197,0.7972,0.6776,0.7289,0.0549,0.0174
F1 Score,YOLOv8,Adam,0.8989,0.8933,0.8783,0.9255,0.8859,0.9137,0.0178,0.0056
F1 Score,YOLOv8,AdamW,0.9017,0.9048,0.8854,0.9191,0.8905,0.9102,0.0117,0.0037
F1 Score,YOLOv8,SGD,0.8825,0.8818,0.8664,0.8949,0.876,0.8917,0.0103,0.0033
F1 Score,YOLOv11,Adam,0.8924,0.8917,0.878,0.904,0.8916,0.8947,0.0066,0.0021
F1 Score,YOLOv11,AdamW,0.8946,0.8872,0.8708,0.9264,0.8766,0.9151,0.0215,0.0068
F1 Score,YOLOv11,SGD,0.8747,0.8734,0.8608,0.8936,0.8656,0.88,0.0112,0.0035
F1 Score,YOLOv26,Adam,0.8858,0.8962,0.8425,0.9134,0.8697,0.9064,0.027,0.0085
F1 Score,YOLOv26,AdamW,0.8808,0.8822,0.8384,0.9302,0.8509,0.907,0.0332,0.0105
F1 Score,YOLOv26,SGD,0.7972,0.7883,0.735,0.8735,0.7828,0.7996,0.0383,0.0121
mAP@50,YOLOv8,Adam,0.9095,0.9042,0.8877,0.9501,0.9006,0.9168,0.019,0.006
mAP@50,YOLOv8,AdamW,0.9153,0.9124,0.8954,0.9376,0.911,0.9185,0.0121,0.0038
mAP@50,YOLOv8,SGD,0.8998,0.8998,0.8869,0.9101,0.8963,0.9048,0.0073,0.0023
mAP@50,YOLOv11,Adam,0.9049,0.9042,0.8853,0.9186,0.8974,0.9149,0.0111,0.0035
mAP@50,YOLOv11,AdamW,0.9089,0.9181,0.8751,0.9323,0.8904,0.9238,0.0213,0.0067
mAP@50,YOLOv11,SGD,0.9063,0.9037,0.891,0.9329,0.895,0.9151,0.0137,0.0043
mAP@50,YOLOv26,Adam,0.8942,0.8967,0.8438,0.928,0.8793,0.9201,0.0293,0.0093
mAP@50,YOLOv26,AdamW,0.8925,0.8926,0.8401,0.9378,0.8748,0.9166,0.0316,0.01
mAP@50,YOLOv26,SGD,0.8092,0.7994,0.7732,0.888,0.7873,0.8209,0.0339,0.0107
mAP@50-95,YOLOv8,Adam,0.5229,0.5277,0.5019,0.5342,0.5177,0.5299,0.0108,0.0034
mAP@50-95,YOLOv8,AdamW,0.5276,0.5233,0.5105,0.5579,0.5213,0.5347,0.0136,0.0043
mAP@50-95,YOLOv8,SGD,0.5099,0.5111,0.494,0.523,0.5016,0.5186,0.0102,0.0032
mAP@50-95,YOLOv11,Adam,0.5123,0.5116,0.4953,0.5263,0.5058,0.5205,0.0104,0.0033
mAP@50-95,YOLOv11,AdamW,0.5187,0.5208,0.5019,0.5272,0.5152,0.5235,0.0076,0.0024
mAP@50-95,YOLOv11,SGD,0.5109,0.5115,0.4979,0.5242,0.5071,0.5129,0.0075,0.0024
mAP@50-95,YOLOv26,Adam,0.5116,0.5139,0.4723,0.5338,0.4991,0.5284,0.0197,0.0062
mAP@50-95,YOLOv26,AdamW,0.516,0.5098,0.4929,0.5444,0.503,0.5287,0.0174,0.0055
mAP@50-95,YOLOv26,SGD,0.4496,0.4457,0.4177,0.5006,0.4401,0.4543,0.0228,0.0072
